Rangasthalam | 9.4 | 2018 | Action, Drama | ./drama/6.jpg | India
Kalakalappu | 6.9 | 2012 | Comedy | ./comedy/4017.jpg | India
A Sailor-Made Man | 6.9 | 1921 | Comedy | ./comedy/4020.jpg | USA
Six of a Kind | 6.9 | 1934 | Comedy | ./comedy/4037.jpg | USA
Rezerwat | 6.9 | 2007 | Comedy | ./comedy/4041.jpg | Poland
In a Day | 6.9 | 2006 | Comedy, Drama, Romance | ./romance/3158.jpg | UK
The Village Barbershop | 6.9 | 2008 | Comedy, Drama | ./comedy/4056.jpg | USA
U Pana Boga za piecem | 6.9 | 1998 | Comedy | ./comedy/4063.jpg | Poland
Pikkupojat | 6.9 | 1986 | Comedy | ./comedy/4066.jpg | Finland
Bridesmaids | 6.8 | 2011 | Comedy, Romance | ./romance/3167.jpg | USA
Clueless | 6.8 | 1995 | Comedy, Romance | ./romance/3169.jpg | USA
50 First Dates | 6.8 | 2004 | Comedy, Drama, Romance | ./romance/3173.jpg | USA
Overboard | 6.8 | 1987 | Comedy, Romance | ./romance/3174.jpg | USA
Adventureland | 6.8 | 2009 | Comedy, Drama, Romance | ./romance/3175.jpg | USA
The Prisoner of Second Avenue | 6.8 | 1975 | Comedy | ./comedy/4082.jpg | USA
Pretty in Pink | 6.8 | 1986 | Comedy, Drama, Romance | ./romance/3176.jpg | USA
My Girl | 6.8 | 1991 | Comedy, Drama, Family | ./romance/3177.jpg | USA
Sleepless in Seattle | 6.8 | 1993 | Comedy, Drama, Romance | ./romance/3178.jpg | USA
Liar Liar | 6.8 | 1997 | Comedy, Fantasy | ./fantasy/826.jpg | USA
Lucas | 6.8 | 1986 | Comedy, Drama, Romance | ./romance/3180.jpg | USA
Before We Go | 6.8 | 2014 | Comedy, Drama, Romance | ./romance/3182.jpg | USA
Risky Business | 6.8 | 1983 | Comedy, Crime, Drama | ./romance/3183.jpg | USA
Four Rooms | 6.8 | 1995 | Comedy | ./comedy/4093.jpg | USA
The Wedding Singer | 6.8 | 1998 | Comedy, Music, Romance | ./romance/3184.jpg | USA
Hocus Pocus | 6.8 | 1993 | Comedy, Family, Fantasy | ./fantasy/829.jpg | USA
Their Finest | 6.8 | 2016 | Comedy, Drama, Romance | ./war/894.jpg | UK, Sweden
The Skeleton Twins | 6.8 | 2014 | Comedy, Drama, Romance | ./romance/3186.jpg | USA
Waiting... | 6.8 | 2005 | Comedy | ./comedy/4099.jpg | USA
Super | 8.0 | 2010 | Drama | ./drama/1102.jpg | USA
Yes Man | 6.8 | 2008 | Comedy, Romance | ./romance/3189.jpg | USA, UK
Martian Child | 6.8 | 2007 | Comedy, Drama, Family | ./family/747.jpg | USA
The Inbetweeners Movie | 6.8 | 2011 | Comedy | ./comedy/4104.jpg | UK
Man Up | 6.8 | 2015 | Comedy, Drama, Romance | ./romance/3193.jpg | UK, France
Under the Tuscan Sun | 6.8 | 2003 | Comedy, Drama, Romance | ./romance/3194.jpg | USA, Italy
Babe | 6.8 | 1995 | Comedy, Drama, Family | ./family/749.jpg | Australia, USA
Imagine Me & You | 6.8 | (1995) | Comedy, Drama, Romance | ./comedy/4111.jpg | USA
Now and Then | 6.8 | 1995 | Comedy, Drama, Romance | ./romance/3197.jpg | USA
Goon | 6.8 | 2011 | Comedy, Sport | ./sport/275.jpg | USA, Canada
Where the Heart Is | 6.8 | 2000 | Comedy, Drama, Romance | ./romance/3200.jpg | USA
Bernie | 6.8 | 2011 | Biography, Comedy, Crime | ./music/414.jpg | USA
Sliding Doors | 6.8 | 1998 | Comedy, Drama, Fantasy | ./romance/3202.jpg | UK, USA
Miss You Already | 6.8 | 2015 | Comedy, Drama, Romance | ./romance/3203.jpg | UK
Saved! | 6.8 | 2004 | Comedy, Drama | ./comedy/4127.jpg | USA, Canada
Dan in Real Life | 6.8 | 2007 | Comedy, Drama, Romance | ./romance/3208.jpg | USA
The American President | 6.8 | 1995 | Comedy, Drama, Romance | ./romance/3209.jpg | USA
Penelope | 6.8 | (1995) | Comedy, Fantasy, Romance | ./comedy/4130.jpg | USA
Bicentennial Man | 6.8 | 1999 | Comedy, Drama, Sci-Fi | ./sci-fi/517.jpg | USA, Germany
Trick 'r Treat | 6.8 | 2007 | Comedy, Horror, Thriller | ./thriller/2193.jpg | USA
Eagle vs Shark | 6.8 | 2007 | Comedy, Romance | ./romance/3213.jpg | New Zealand
Working Girl | 6.8 | 1988 | Comedy, Drama, Romance | ./romance/3214.jpg | USA
Beaches | 6.8 | 1988 | Comedy, Drama, Music | ./music/417.jpg | USA
Take Me Out to the Ball Game | 6.8 | 1949 | Comedy, Musical, Romance | ./sport/279.jpg | USA
Don't Think Twice | 6.8 | 2016 | Comedy, Drama | ./comedy/4143.jpg | USA
Foul Play | 6.8 | 1978 | Comedy, Mystery, Thriller | ./thriller/2207.jpg | USA
Behind the Mask: The Rise of Leslie Vernon | 6.8 | 2006 | Comedy, Horror, Thriller | ./thriller/2209.jpg | USA
Shadows and Fog | 6.8 | 1991 | Comedy | ./comedy/4148.jpg | USA
Obvious Child | 6.8 | 2014 | Comedy, Drama, Romance | ./romance/3223.jpg | USA
Dave | 6.8 | 1993 | Comedy, Romance | ./romance/3224.jpg | USA
Everyone Says I Love You | 6.8 | 1996 | Comedy, Musical, Romance | ./romance/3227.jpg | USA
The Jane Austen Book Club | 6.8 | 2007 | Comedy, Drama, Romance | ./romance/3228.jpg | USA
Family Plot | 6.8 | 1976 | Comedy, Thriller | ./thriller/2216.jpg | USA
Something New | 6.8 | 2006 | Comedy, Drama, Romance | ./romance/3230.jpg | USA
Gigi | 6.8 | 1958 | Comedy, Musical, Romance | ./romance/3231.jpg | USA
See No Evil, Hear No Evil | 6.8 | 1989 | Comedy, Crime | ./crime/2095.jpg | USA
Happythankyoumoreplease | 6.8 | 2010 | Comedy, Drama, Romance | ./romance/3232.jpg | USA
Used Cars | 6.8 | 1980 | Comedy | ./comedy/4161.jpg | USA
Night of the Creeps | 6.8 | 1986 | Comedy, Horror, Sci-Fi | ./sci-fi/523.jpg | USA
Bulworth | 6.8 | 1998 | Comedy, Drama, Romance | ./romance/3233.jpg | USA
Comet | 6.8 | 2014 | Comedy, Drama, Romance | ./sci-fi/524.jpg | USA
Dil Dhadakne Do | 6.8 | 2015 | Comedy, Drama, Family | ./romance/3236.jpg | India
Keeping Mum | 6.8 | (2015) | Comedy, Crime | ./comedy/4167.jpg | India
Bottle Shock | 6.8 | 2008 | Comedy, Drama | ./comedy/4168.jpg | USA
The Perfect Host | 6.8 | 2010 | Comedy, Crime, Thriller | ./thriller/2222.jpg | USA
Stir Crazy | 6.8 | 1980 | Comedy, Crime | ./crime/2106.jpg | USA
Untamed Heart | 6.8 | 1993 | Comedy, Drama, Romance | ./romance/3243.jpg | USA
The Adventures of Bob & Doug McKenzie: Strange Brew | 6.8 | (1993) | Comedy | ./comedy/4176.jpg | USA
Prizzi's Honor | 6.8 | 1985 | Comedy, Crime, Drama | ./romance/3245.jpg | USA
Big Nothing | 6.8 | 2006 | Comedy, Crime, Thriller | ./thriller/2230.jpg | UK, Canada
Quartet | 6.8 | 2012 | Comedy, Drama | ./comedy/4179.jpg | UK
Cherry | 6.8 | 2010 | Comedy, Drama | ./comedy/4180.jpg | USA
Good Ol' Boy | 6.8 | 2016 | Comedy, Drama, Family | ./family/763.jpg | N/A
The Curse of the Jade Scorpion | 6.8 | 2001 | Comedy, Crime, Mystery | ./romance/3250.jpg | USA, Germany
Mystery Team | 6.8 | 2009 | Comedy, Crime, Mystery | ./mystery/1005.jpg | USA
Housebound | 6.8 | 2014 | Comedy, Horror, Mystery | ./mystery/1008.jpg | New Zealand
SubUrbia | 6.8 | 1996 | Comedy, Drama | ./comedy/4188.jpg | USA
Me and Orson Welles | 6.8 | 2008 | Comedy, Drama | ./comedy/4189.jpg | UK, USA, Isle Of Man
Matinee | 6.8 | 1993 | Comedy, Drama | ./comedy/4192.jpg | USA
Dummy | 6.8 | 2002 | Comedy, Drama, Romance | ./romance/3262.jpg | USA
A Prairie Home Companion | 6.8 | 2006 | Comedy, Drama, Music | ./musical/542.jpg | USA
The Last Supper | 6.8 | 1995 | Comedy, Crime, Drama | ./thriller/2247.jpg | USA
Quick Change | 6.8 | 1990 | Comedy, Crime | ./crime/2125.jpg | USA
State and Main | 6.8 | 2000 | Comedy, Drama | ./comedy/4197.jpg | France, USA
The Matador | 6.8 | 2005 | Comedy, Crime, Drama | ./thriller/2250.jpg | Ireland, Germany, USA
Palindromes | 6.8 | 2004 | Comedy, Drama | ./comedy/4202.jpg | USA
The Owl and the Pussycat | 6.8 | (2004) | Comedy | ./comedy/4203.jpg | USA
Dead Men Don't Wear Plaid | 6.8 | 1982 | Comedy, Crime, Mystery | ./thriller/2253.jpg | USA
Indiscreet | 6.8 | 1958 | Comedy, Romance | ./romance/3267.jpg | UK, USA
Rock 'n' Roll High School | 6.8 | 1979 | Comedy, Music | ./music/426.jpg | USA
The Absent Minded Professor | 6.8 | 1961 | Comedy, Family, Sci-Fi | ./sport/287.jpg | USA
Sleepwalk with Me | 6.8 | 2012 | Comedy | ./comedy/4210.jpg | USA
Babysitting | 6.8 | 2014 | Comedy | ./comedy/4215.jpg | France
Driving Lessons | 6.8 | 2006 | Comedy, Drama | ./comedy/4216.jpg | UK
Defendor | 6.8 | 2009 | Comedy, Crime, Drama | ./crime/2136.jpg | Canada, USA, UK
Racing with the Moon | 6.8 | 1984 | Comedy, Drama, Romance | ./romance/3284.jpg | USA
Eating Raoul | 6.8 | 1982 | Comedy, Crime | ./crime/2140.jpg | USA
Blackbeard's Ghost | 6.8 | 1968 | Comedy, Family, Fantasy | ./family/772.jpg | USA
The Pajama Game | 6.8 | 1957 | Comedy, Drama, Musical | ./romance/3293.jpg | USA
Sordid Lives | 6.8 | 2000 | Comedy, Romance | ./romance/3298.jpg | USA
Corner Gas: The Movie | 6.8 | 2014 | Comedy | ./comedy/4233.jpg | Canada
Edge of Seventeen | 6.8 | 1998 | Comedy, Drama, Romance | ./romance/3302.jpg | USA
Bedtime Story | 6.8 | 1964 | Comedy | ./comedy/4235.jpg | USA
Jane Wants a Boyfriend | 6.8 | 2015 | Comedy, Drama, Romance | ./romance/3304.jpg | USA
A Cock and Bull Story | 6.8 | (2015) | Comedy | ./comedy/4239.jpg | UK
Designing Woman | 6.8 | 1957 | Comedy, Romance | ./romance/3305.jpg | USA
Real Time | 6.8 | 2008 | Comedy, Drama | ./comedy/4243.jpg | Canada
A Guide for the Married Man | 6.8 | 1967 | Comedy, Romance | ./romance/3315.jpg | USA
Cherish | 6.8 | 2002 | Comedy, Drama, Thriller | ./thriller/2275.jpg | USA
The Brother from Another Planet | 6.8 | 1984 | Comedy, Sci-Fi | ./sci-fi/536.jpg | USA
My Sister Eileen | 6.8 | 1955 | Musical, Comedy, Romance | ./romance/3323.jpg | USA
A Bucket of Blood | 6.8 | 1959 | Comedy, Crime, Horror | ./horror/505.jpg | USA
Dedication | 6.8 | 2007 | Comedy, Drama, Romance | ./romance/3327.jpg | USA
The Trotsky | 6.8 | 2009 | Comedy, Drama | ./comedy/4261.jpg | Canada
Panic | 6.8 | 2000 | Comedy, Crime, Drama | ./crime/2159.jpg | USA
The Moon Is Blue | 6.8 | 1953 | Comedy, Romance | ./romance/3334.jpg | USA
The Comedy of Terrors | 6.8 | 1963 | Comedy, Horror | ./horror/509.jpg | USA
Welcome | 6.8 | 2007 | Comedy, Crime, Drama | ./romance/3338.jpg | India
Love, Ludlow | 6.8 | 2005 | Comedy, Romance | ./romance/3339.jpg | USA
Scotland, Pa. | 6.8 | 2001 | Comedy, Crime | ./crime/2166.jpg | USA, Canada
The Test | 6.8 | 2012 | Comedy | ./comedy/4271.jpg | USA
The Scalphunters | 6.8 | 1968 | Comedy, Western | ./western/325.jpg | USA
Who's Minding the Store? | 6.8 | 1963 | Comedy | ./comedy/4276.jpg | USA
The Bingo Long Traveling All-Stars & Motor Kings | 6.8 | 1976 | Comedy, Sport | ./sport/292.jpg | USA
Without Love | 6.8 | 1945 | Comedy, Romance | ./romance/3345.jpg | USA
Mujhse Shaadi Karogi | 6.8 | 2004 | Comedy, Drama, Romance | ./romance/3346.jpg | India
The Boy with Green Hair | 6.8 | 1948 | Comedy, Drama, Family | ./family/777.jpg | USA
Danny Deckchair | 6.8 | 2003 | Comedy, Romance | ./romance/3347.jpg | Australia
The Great Scout & Cathouse Thursday | 6.8 | 1976 | Comedy, Western | ./western/326.jpg | USA
One Touch of Venus | 6.8 | 1948 | Comedy, Fantasy, Musical | ./romance/3352.jpg | USA
Enemies: A Love Story | 6.8 | 1989 | Comedy, Drama, Romance | ./romance/3359.jpg | USA
Garam Masala | 6.8 | 2005 | Comedy, Romance | ./romance/3363.jpg | India
Love Aaj Kal | 6.8 | 2009 | Comedy, Drama, Romance | ./romance/3364.jpg | India
Cold Turkey | 6.8 | (2009) | Comedy | ./comedy/4301.jpg | India
Comoara | 6.8 | 1982 | Comedy | ./comedy/4302.jpg | Romania
The Curiosity of Chance | 6.8 | 2006 | Comedy | ./comedy/4303.jpg | Belgium, USA
Divorcing Jack | 6.8 | 1998 | Thriller, Comedy | ./thriller/2309.jpg | UK
Rock-a-Bye Baby | 6.8 | 1958 | Comedy | ./comedy/4308.jpg | USA
Animalympics | 6.8 | 1980 | Animation, Comedy, Family | ./sport/293.jpg | USA
Reality | 6.8 | 2012 | Comedy, Drama | ./comedy/4315.jpg | Italy, France
The World of Henry Orient | 6.8 | 1964 | Comedy, Drama | ./comedy/4323.jpg | USA
Room Service | 6.8 | 1938 | Comedy | ./comedy/4324.jpg | USA
Bhoothnath Returns | 6.8 | 2014 | Comedy, Drama, Fantasy | ./fantasy/869.jpg | India
The Zohar Secret | 6.8 | 2016 | Comedy, Drama, Sci-Fi | ./sci-fi/543.jpg | Israel, USA, Ukraine, Russia, Spain
Shanghai Kiss | 6.8 | 2007 | Comedy, Drama, Romance | ./romance/3379.jpg | USA, China, Hong Kong
Living It Up | 6.8 | 1954 | Comedy, Musical | ./musical/555.jpg | USA
Buona Sera, Mrs. Campbell | 6.8 | 1968 | Comedy, Romance | ./romance/3380.jpg | USA
Montenegro | 6.8 | 1981 | Drama, Comedy | ./comedy/4339.jpg | Sweden, UK
That Uncertain Feeling | 6.8 | 1941 | Comedy | ./comedy/4341.jpg | USA
Me and My Gal | 6.8 | (1941) | Comedy, Drama, Romance | ./comedy/4343.jpg | USA
The Courtship of Eddie's Father | 6.8 | 1963 | Comedy, Drama, Family | ./family/786.jpg | USA
The Rat Race | 6.8 | 1960 | Comedy, Drama, Romance | ./romance/3398.jpg | USA
Reuben, Reuben | 6.8 | 1983 | Comedy, Drama, Romance | ./romance/3402.jpg | USA
Vaayai Moodi Pesavum | 6.8 | 2014 | Comedy, Drama, Romance | ./romance/3406.jpg | India
Heavens Above! | 6.8 | 1963 | Comedy | ./comedy/4365.jpg | UK
Merrily We Go to Hell | 6.8 | 1932 | Comedy, Drama, Romance | ./romance/3409.jpg | USA
Dorian Blues | 6.8 | 2004 | Comedy, Drama, Romance | ./romance/3411.jpg | USA
Barah Aana | 6.8 | 2009 | Comedy, Crime, Drama | ./crime/2226.jpg | India
Lullaby of Broadway | 6.8 | 1951 | Comedy, Musical, Romance | ./romance/3425.jpg | USA
Skeletons | 6.8 | 2010 | Comedy, Drama, Fantasy | ./fantasy/879.jpg | UK
I Think I Do | 6.8 | 1997 | Comedy, Romance | ./romance/3434.jpg | USA
Three Smart Girls | 6.8 | 1936 | Comedy, Musical, Romance | ./romance/3438.jpg | USA
The Gang's All Here | 6.8 | 1943 | Comedy, Musical, Romance | ./romance/3439.jpg | USA
Ethir Neechal | 6.8 | 2013 | Comedy, Romance, Sport | ./sport/302.jpg | India
That Night in Rio | 6.8 | 1941 | Comedy, Musical | ./musical/569.jpg | USA
Female | 6.8 | 1933 | Comedy, Drama, Romance | ./romance/3447.jpg | USA
The Battle of the Sexes | 6.8 | 1960 | Comedy | ./comedy/4418.jpg | UK
This Could Be the Night | 6.8 | 1957 | Comedy | ./comedy/4425.jpg | USA
Il ciclone | 6.8 | 1916 | Comedy, Romance | ./romance/3456.jpg | Italy
27 Missing Kisses | 6.8 | 2000 | Comedy, Drama, Romance | ./romance/3462.jpg | Germany, Georgia, UK, France
Generation P | 6.8 | 2011 | Comedy, Drama, Sci-Fi | ./sci-fi/552.jpg | Russia, USA
Dreamboat | 6.8 | 1952 | Comedy | ./comedy/4445.jpg | USA
The Password Is Courage | 6.8 | 1962 | War, Comedy, Drama | ./war/954.jpg | UK
Malamaal Weekly | 6.8 | 2006 | Comedy, Drama, Romance | ./romance/3470.jpg | India
Ma and Pa Kettle Go to Town | 6.8 | 1950 | Comedy, Crime | ./crime/2254.jpg | USA
Winnie the Pooh: A Very Merry Pooh Year | 6.8 | 2002 | Animation, Comedy, Drama | ./musical/575.jpg | USA
Il ragazzo di campagna | 6.8 | 1984 | Comedy | ./comedy/4479.jpg | Italy
The Poor Little Rich Girl | 6.8 | 1917 | Comedy, Drama, Family | ./romance/3484.jpg | USA
Eldorado | 6.8 | 2008 | Comedy, Drama | ./comedy/4485.jpg | Belgium, France
Archangel | 6.8 | 2005 | Comedy, Drama, Romance | ./war/960.jpg | UK
AV | 6.8 | 2005 | Comedy, Drama, Romance | ./romance/3495.jpg | Hong Kong
Chalo Dilli | 6.8 | 2011 | Comedy, Drama | ./comedy/4518.jpg | India
Mexican Hayride | 6.8 | 1948 | Comedy, Romance | ./romance/3506.jpg | USA
I Am 24 | 6.8 | 2010 | Comedy, Romance | ./romance/3517.jpg | India
Harikrishnans | 6.8 | 1998 | Comedy, Crime, Mystery | ./romance/3532.jpg | India
Poranek kojota | 6.8 | 2001 | Comedy | ./comedy/4561.jpg | Poland
Pensavo fosse amore invece era un calesse | 6.8 | 1991 | Comedy, Drama, Romance | ./romance/3542.jpg | Italy
Maledetto il giorno che t'ho incontrato | 6.8 | 1992 | Comedy | ./comedy/4579.jpg | Italy
Kennedy et moi | 6.8 | 1999 | Comedy | ./comedy/4593.jpg | France
Petrol krallari | 6.8 | 1978 | Comedy | ./comedy/4595.jpg | Turkey
Ingrid Goes West | 6.7 | 2017 | Comedy, Drama | ./comedy/4604.jpg | USA
The Party | 6.7 | 1968 | Comedy, Drama | ./comedy/4608.jpg | USA
Inherent Vice | 6.7 | 2014 | Comedy, Crime, Drama | ./romance/3550.jpg | USA
The Girl Next Door | 6.7 | 2004 | Crime, Drama, Horror | ./thriller/2430.jpg | USA
Police Academy | 6.7 | 1984 | Comedy | ./comedy/4611.jpg | USA
Wet Hot American Summer | 6.7 | 2001 | Comedy, Romance | ./romance/3552.jpg | USA
The Proposal | 6.7 | 2009 | Comedy, Drama, Romance | ./romance/3553.jpg | USA
Dodgeball: A True Underdog Story | 6.7 | 2004 | Comedy, Sport | ./sport/304.jpg | USA, Germany
The Wedding Ringer | 6.7 | 2015 | Comedy | ./comedy/4620.jpg | USA
The Bachelors | 6.7 | 2017 | Comedy, Drama | ./comedy/4621.jpg | USA
American Reunion | 6.7 | 2012 | Comedy | ./comedy/4622.jpg | USA
Can't Buy Me Love | 6.7 | 1987 | Comedy, Drama, Romance | ./romance/3561.jpg | USA
Bruce Almighty | 6.7 | 2003 | Comedy, Drama, Fantasy | ./fantasy/915.jpg | USA
Wish I Was Here | 6.7 | 2014 | Comedy, Drama | ./comedy/4634.jpg | USA
Empire Records | 6.7 | 1995 | Comedy, Drama, Music | ./romance/3564.jpg | USA
Something's Gotta Give | 6.7 | 2003 | Comedy, Drama, Romance | ./romance/3566.jpg | USA
White Men Can't Jump | 6.7 | 1992 | Comedy, Drama, Sport | ./sport/305.jpg | USA
Bend It Like Beckham | 6.7 | 2002 | Comedy, Drama, Romance | ./sport/306.jpg | UK, Germany, USA
The Whole Nine Yards | 6.7 | 2000 | Comedy, Crime | ./crime/2320.jpg | USA
City Slickers | 6.7 | 1991 | Comedy | ./comedy/4646.jpg | USA
Hot Rod | 6.7 | 2007 | Comedy | ./comedy/4647.jpg | USA
Cocoon | 6.7 | 1985 | Comedy, Drama, Sci-Fi | ./sci-fi/585.jpg | USA
Men, Women & Children | 6.7 | 2014 | Comedy, Drama | ./comedy/4649.jpg | USA
Gummo | 6.7 | 1997 | Comedy, Drama | ./comedy/4652.jpg | USA
Stepmom | 6.7 | 1998 | Comedy, Drama | ./comedy/4653.jpg | USA
L.A. Story | 6.7 | 1991 | Comedy, Drama, Fantasy | ./romance/3577.jpg | USA
Emma | 6.7 | 1996 | Comedy, Drama, Romance | ./romance/3578.jpg | UK, USA
Analyze This | 6.7 | 1999 | Comedy, Crime | ./crime/2329.jpg | USA, Australia
Nick and Norah's Infinite Playlist | 6.7 | 2008 | Comedy, Drama, Music | ./romance/3581.jpg | USA
Heavy Weights | 6.7 | 1995 | Comedy, Drama, Family | ./sport/307.jpg | USA
Singles | 6.7 | 1992 | Comedy, Drama, Romance | ./romance/3583.jpg | USA
Mistress America | 6.7 | 2015 | Comedy, Drama | ./comedy/4670.jpg | USA, Brazil
Fukrey Returns | 6.7 | 2017 | Comedy | ./comedy/4673.jpg | India
Bad Taste | 6.7 | 1987 | Comedy, Horror, Sci-Fi | ./sci-fi/591.jpg | New Zealand
Postcards from the Edge | 6.7 | 1990 | Comedy, Drama | ./comedy/4679.jpg | USA
Liberal Arts | 6.7 | 2012 | Comedy, Drama, Romance | ./romance/3593.jpg | USA
Spring | 6.7 | 2014 | Comedy, Horror, Romance | ./sci-fi/592.jpg | USA
Tallulah | 6.7 | 2016 | Comedy, Drama, Romance | ./romance/3596.jpg | USA
Scoop | 6.7 | 2006 | Comedy, Crime, Mystery | ./mystery/1100.jpg | UK, USA
This Must Be the Place | 6.7 | 2011 | Comedy, Drama | ./comedy/4684.jpg | Italy, France, Ireland
Bad Words | 6.7 | 2013 | Comedy, Drama | ./comedy/4688.jpg | USA
I Heart Huckabees | 6.7 | 2004 | Comedy | ./comedy/4689.jpg | USA, UK, Germany
Serial Mom | 6.7 | 1994 | Comedy, Crime, Thriller | ./thriller/2478.jpg | USA
Other People | 6.7 | 2016 | Comedy, Drama | ./comedy/4692.jpg | USA
Bye Bye Birdie | 6.7 | 1963 | Comedy, Musical | ./musical/595.jpg | USA
The Best Man Holiday | 6.7 | 2013 | Comedy, Drama | ./comedy/4699.jpg | USA
Paint Your Wagon | 6.7 | 1969 | Comedy, Drama, Musical | ./western/352.jpg | USA
Mystery, Alaska | 6.7 | (1969) | Comedy, Drama, Sport | ./comedy/4702.jpg | USA
Starter for 10 | 6.7 | 2006 | Comedy, Drama, Romance | ./sport/316.jpg | UK, USA
Your Sister's Sister | 6.7 | 2011 | Comedy, Drama | ./comedy/4706.jpg | USA
Hysteria | 6.7 | 2011 | Comedy, Romance | ./romance/3617.jpg | UK, France, Germany, Switzerland, Luxembourg
Cheap Thrills | 6.7 | 2013 | Comedy, Crime, Drama | ./thriller/2498.jpg | USA
Revenge of the Pink Panther | 6.7 | 1978 | Comedy, Crime, Mystery | ./mystery/1106.jpg | UK, USA
Michael Bolton's Big, Sexy Valentine's Day Special | 6.7 | 2017 | Comedy, Music, Musical | ./romance/3622.jpg | USA
Fandango | 6.7 | 1985 | Comedy, Drama | ./comedy/4718.jpg | USA
High Anxiety | 6.7 | 1977 | Comedy | ./comedy/4719.jpg | USA
Chaos Theory | 6.7 | 2008 | Comedy, Drama, Romance | ./romance/3624.jpg | USA
The Giant Mechanical Man | 6.7 | 2012 | Comedy, Drama, Romance | ./romance/3626.jpg | USA, Poland
The Nutty Professor | 5.6 | 1996 | Comedy, Romance, Sci-Fi | ./sci-fi/1487.jpg | USA
With Honors | 6.7 | 1994 | Comedy, Drama | ./comedy/4725.jpg | USA
Grandma | 6.7 | 2015 | Comedy, Drama | ./comedy/4726.jpg | USA
The Door in the Floor | 6.7 | 2004 | Comedy, Drama | ./comedy/4727.jpg | USA
Brain Damage | 6.7 | 1988 | Comedy, Horror | ./comedy/4728.jpg | USA
Meet the Feebles | 6.7 | 1989 | Comedy, Music, Musical | ./musical/602.jpg | New Zealand
Rafter Romance | 6.7 | 1933 | Comedy, Romance | ./romance/3636.jpg | USA
All of Me | 6.7 | 1984 | Comedy, Fantasy, Romance | ./romance/3637.jpg | USA
The Shape of Things | 6.7 | 2003 | Comedy, Drama, Romance | ./romance/3641.jpg | USA, France, UK
Strike! | 6.7 | 1934 | Comedy | ./comedy/4740.jpg | UK
Gidget | 6.7 | 1959 | Comedy | ./comedy/4741.jpg | USA
Houseboat | 6.7 | 1958 | Comedy, Drama, Family | ./romance/3644.jpg | USA
Today's Special | 6.7 | 2009 | Comedy | ./comedy/4743.jpg | USA
That Darn Cat! | 6.7 | 1965 | Comedy, Crime, Family | ./thriller/2513.jpg | USA
Eulogy | 6.7 | 2004 | Comedy, Drama | ./comedy/4745.jpg | USA, UK, Germany
Silent Movie | 6.7 | 1976 | Comedy | ./comedy/4747.jpg | USA
Rocket Science | 6.7 | 2007 | Comedy, Drama | ./comedy/4748.jpg | USA
The Prince and the Showgirl | 6.7 | 1957 | Comedy, Romance | ./romance/3648.jpg | UK, USA
Spud | 6.7 | 2010 | Comedy, Drama | ./comedy/4751.jpg | South Africa
Tumbleweeds | 6.7 | 1999 | Drama, Comedy | ./comedy/4753.jpg | USA
Seems Like Old Times | 6.7 | 1980 | Comedy, Romance | ./romance/3652.jpg | USA
Angus | 6.7 | 1995 | Comedy, Drama | ./comedy/4756.jpg | UK, France, Germany, USA
Small Time Crooks | 6.7 | 2000 | Comedy, Crime | ./crime/2371.jpg | USA
De surprise | 6.7 | 1984 | Comedy, Romance | ./romance/3655.jpg | Belgium
Fever Pitch | 6.2 | 2005 | Comedy, Drama, Romance | ./sport/456.jpg | USA, Germany
Where the Boys Are | 6.7 | 1960 | Comedy, Drama, Romance | ./romance/3660.jpg | USA
The Raven | 6.4 | 2012 | Crime, Mystery, Thriller | ./thriller/3323.jpg | USA, Spain, Hungary, Serbia
Insignificance | 6.7 | 1985 | Drama, Comedy | ./comedy/4765.jpg | UK
That Touch of Mink | 6.7 | 1962 | Comedy, Romance | ./romance/3663.jpg | USA
Shrink | 6.7 | 2009 | Comedy, Drama | ./comedy/4773.jpg | USA
Faults | 6.7 | 2014 | Comedy, Crime, Drama | ./crime/2376.jpg | USA
King of California | 6.7 | 2007 | Comedy, Drama | ./comedy/4779.jpg | USA
On a Clear Day You Can See Forever | 6.7 | 1970 | Comedy, Drama, Fantasy | ./musical/607.jpg | USA
10.000 Km | 6.7 | 2014 | Comedy, Drama, Romance | ./romance/3675.jpg | Spain
10 Items or Less | 6.7 | 2006 | Comedy, Drama | ./comedy/4786.jpg | USA
Habemus Papam | 6.7 | (1942) | Comedy, Drama | ./comedy/4792.jpg | Italy
Bless the Beasts & Children | 6.7 | 1971 | Comedy, Drama | ./comedy/4794.jpg | USA
Tanu Weds Manu | 6.7 | 2011 | Comedy, Drama, Romance | ./romance/3687.jpg | India
Brewster's Millions | 6.7 | 1985 | Comedy | ./comedy/4803.jpg | USA
The Young Kieslowski | 6.7 | 2014 | Comedy, Drama, Romance | ./romance/3700.jpg | USA
Manny & Lo | 6.7 | (1998) | Comedy, Drama | ./comedy/4808.jpg | USA, Philippines
The Baxter | 6.7 | 2005 | Comedy, Romance | ./comedy/4810.jpg | USA
Dancing Lady | 6.7 | 1933 | Comedy, Musical, Romance | ./romance/3703.jpg | USA
Duane Hopwood | 6.7 | 2005 | Comedy, Drama | ./comedy/4813.jpg | USA
Mono | 6.7 | 2016 | Comedy | ./comedy/4816.jpg | USA
Match | 5.5 | 2014 | Drama, History, Sport | ./sport/624.jpg | USA
Next Stop Wonderland | 6.7 | 1998 | Comedy, Drama, Romance | ./romance/3707.jpg | USA
